WORK_SPACE_ID,NAME,ADDRESS,X_COORD,Y_COORD,URL,AREA_GROUP
1397,워크플레이스,대구 달서구 상인로 105,128.5462368,35.81567921,http://place.map.kakao.com/173496487,경상도
1398,워크24오피스,경남 진주시 진양호로44번길 33-3,128.0472638,35.16593859,http://place.map.kakao.com/1271951011,경상도
1399,스마트업워크스페이스,대구 달서구 조암로 32,128.5262178,35.82522695,http://place.map.kakao.com/1917749944,경상도
1400,신한,대구 중구 명륜로 39,128.5900159,35.86315268,http://place.map.kakao.com/920000723,경상도
1401,오피스애플타워,경남 창원시 마산합포구 해안대로 11,128.560238,35.18064026,http://place.map.kakao.com/986159644,경상도
1402,대구경북주식투자모임사무실,대구 중구 재마루길 94,128.5836773,35.86395013,http://place.map.kakao.com/1673604617,경상도
1403,위드인비즈니스센터,대구 중구 약령길 83,128.5891434,35.86990839,http://place.map.kakao.com/1806970000,경상도
1404,리저스 동대구역센터,대구 동구 동대구로 489,128.6248394,35.87422484,http://place.map.kakao.com/27262208,경상도
1405,대구테크노파크 이음마당 스타기업명예의전당,대구 동구 동대구로 475,128.6248287,35.87283723,http://place.map.kakao.com/1450371765,경상도
1406,데이오피스,대구 서구 북비산로 237,128.5592093,35.8793933,http://place.map.kakao.com/1265157464,경상도
1407,에이치에스투게더,대구 남구 대명로 66,128.5647672,35.83892522,http://place.map.kakao.com/1931192923,경상도
1408,더써드랩,경남 진주시 충의로 24,128.1478057,35.17646777,http://place.map.kakao.com/993701276,경상도
1409,하이드오피스,대구 중구 경상감영길 231,128.6000267,35.87156528,http://place.map.kakao.com/1135885434,경상도
1410,이상한사무실 창원 마산합포구점,경남 창원시 마산합포구 고운로 118,128.5605225,35.19236536,http://place.map.kakao.com/427118028,경상도
1411,성공채널공유오피스,대구 수성구 달구벌대로480길 9,128.624452,35.85828892,http://place.map.kakao.com/92571522,경상도
1412,달서구 1인창조기업지원센터,대구 달서구 달서대로 675,128.4916845,35.858589,http://place.map.kakao.com/811136057,경상도
1413,대구테크노파크 온샘비즈니스라운지,대구 동구 동대구로 475,128.6248287,35.87283723,http://place.map.kakao.com/1450488009,경상도
